Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	DIA_1_S5-B1_1_12203.d	DIA_2_S5-C1_1_12204.d	DIA_3_S5-D1_1_12205.d	DIA_4_S5-E1_1_12206.d	DIA_5_S5-F1_1_12207.d	DIA_6_S5-G1_1_12208.d	DIA_7_S5-A2_1_12209.d	DIA_8_S5-B2_1_12210.d	DIA_9_S5-C2_1_12211.d	DIA_10_S5-D2_1_12212.d	DIA_11_S5-E2_1_12213.d	DIA_12_S5-F2_1_12214.d	DIA_13_S5-G2_1_12215.d	DIA_14_S5-A3_1_12216.d	DIA_15_S5-B3_1_12217.d	DIA_16_S5-C3_1_12218.d	DIA_17_S5-D3_1_12219.d	DIA_18_S5-E3_1_12220.d	DIA_19_S5-F3_1_12221.d	DIA_20_S5-G3_1_12222.d	DIA_21_S5-A4_1_12223.d	DIA_22_S5-B4_1_12224.d	DIA_23_S5-C4_1_12225.d	DIA_24_S5-D4_1_12226.d	DIA_25_S5-E4_1_12227.d	DIA_26_S5-F4_1_12228.d	DIA_27_S5-G4_1_12229.d	DIA_28_S5-A5_1_12230.d	DIA_29_S5-B5_1_12231.d	DIA_30_S5-C5_1_12232.d	DIA_31_S5-D5_1_12233.d	DIA_32_S5-E5_1_12234.d	DIA_33_S5-F5_1_12235.d	DIA_34_S5-G5_1_12236.d	DIA_35_S5-A6_1_12237.d	DIA_36_S5-B6_1_12238.d	DIA_37_S5-C6_1_12239.d	DIA_38_S5-D6_1_12240.d	DIA_39_S5-E6_1_12241.d	DIA_40_S5-F6_1_12242.d	DIA_41_S5-G6_1_12243.d	DIA_42_S5-A7_1_12244.d	DIA_43_S5-B7_1_12245.d	DIA_44_S5-C7_1_12246.d	DIA_45_S5-D7_1_12247.d	DIA_46_S5-E7_1_12248.d	DIA_47_S5-F7_1_12249.d	DIA_48_S6-B1_1_12252.d	DIA_49_S6-C1_1_12253.d	DIA_50_S6-D1_1_12254.d	DIA_51_S6-E1_1_12255.d	DIA_52_S6-F1_1_12256.d	DIA_53_S6-G1_1_12257.d	DIA_54_S6-A2_1_12258.d	DIA_55_S6-B2_1_12259.d	DIA_56_S6-C2_1_12260.d	DIA_57_S6-D2_1_12261.d	DIA_58_S6-E2_1_12262.d	DIA_59_S6-F2_1_12263.d	DIA_60_S6-G2_1_12264.d	DIA_61_S6-A3_1_12265.d	DIA_62_S6-B3_1_12266.d	DIA_63_S6-C3_1_12267.d	DIA_64_S6-D3_1_12268.d	DIA_65_S6-E3_1_12269.d	DIA_66_S6-F3_1_12270.d	DIA_67_S6-G3_1_12271.d	DIA_68_S6-A4_1_12272.d	DIA_69_S6-B4_1_12273.d	DIA_70_S6-C4_1_12274.d	DIA_71_S6-D4_1_12275.d	DIA_72_S6-E4_1_12276.d	DIA_73_S6-F4_1_12277.d	DIA_74_S6-G4_1_12278.d	DIA_75_S6-A5_1_12279.d	DIA_76_S6-B5_1_12280.d	DIA_77_S6-C5_1_12281.d	DIA_78_S6-D5_1_12282.d	DIA_79_S6-E5_1_12283.d	DIA_80_S6-F5_1_12284.d	DIA_81_S6-G5_1_12285.d	DIA_82_S6-A6_1_12286.d	DIA_83_S6-B6_1_12287.d	DIA_84_S6-C6_1_12288.d	DIA_85_S6-D6_1_12289.d	DIA_86_S6-E6_1_12290.d	DIA_87_S6-F6_1_12291.d	DIA_88_S6-G6_1_12292.d	DIA_89_S6-A7_1_12293.d	DIA_90_S6-B7_1_12294.d	DIA_91_S6-C7_1_12295.d	DIA_92_S6-D7_1_12296.d	DIA_93_S6-E7_1_12297.d	DIA_94_S6-F7_1_12298.d	DIA_95_S6-G7_1_12299.d	DIA_96_S6-A8_1_12300.d	DIA_97_S6-B8_1_12301.d	DIA_98_S6-C8_1_12302.d	DIA_Pool1_S5-A1_1_12202.d	DIA_Pool2_S5-G7_1_12250.d	DIA_Pool3_S6-A1_1_12251.d	DIA_Pool4_S6-D8_1_12303.d
A0A075B6H7	A0A075B6H7	KV37_HUMAN	IGKV3-7	Probable non-functional immunoglobulin kappa variable 3-7	106230	28893.3	71350.3	156217	80961	54672.7	50772.3	39197.3	40315.3	68121.2	120563	57444.9	40385.5	42504.6	46671.1	35219.2	24867.4	33049.5	104364	56364.4	64539.7	26232.7	63111.5	45238.1	49137.8	42518.2	79920.1	40653.7	118088	71194.4		58219.4	60365.1	34328.8	63339.2	47002.6	39894.3	31556.5	74675.5	79599	306532	45124.8	56699.8	42931.3	37488	46049.8	63241.7	50946.5	43329.8	89220.5	49712.6	20080.4	45935.8		26798.8	86018.3	42946.7	48772.2	44190.4	28865.5	39744.4	41141.6	37982	42458.9	67331.3	74449.1	166291	63070.2	37067.1	32004.6	68614.8	53283.7	84741.6	74122.4	114409	140460	191146	181285	57855.5	65911.3	46564.1	58569.4	40968.1	21481.8	96898.1	59038.2	51444.8	37307.9	48566	55839.3	145157	43741.3	39671.6	39676.3	110343	108390	37847.5	21825.2	119316	86272.5	65340.2	44808.5
A0A075B6H9	A0A075B6H9	LV469_HUMAN	IGLV4-69	Immunoglobulin lambda variable 4-69																																																					69.8218													39.0648										2327.46	1776.07	1171.93																								
A0A075B6I0	A0A075B6I0	LV861_HUMAN	IGLV8-61	Immunoglobulin lambda variable 8-61	15613	9988.8	8150.82	9272.52	25961.2	6334.42	12080.7	11165.4	7874.88	10526.9	12606.2	22759.2	7038.6	7028.8	4797.77	7270.35	7277.76	3818.65	10496.1	15543.7	23848.5	5269.1	10498.1	7942.82	8890.91	8493.68	6423.67	7076.06	6611.15	3367.1		23645.6	13102.6	2780.25	11173.3	4753.36	4976.6	6037.09	16858.6	27502.5	14434.5	15453.2	8454.42	7765.1	6368.95	11925.8	10173	12079.3	8428.31	9564.03	18484.2	4823.63	10452.5		7032.4	11056.7	17979.7	5236.35	6903.02	6958.12	3804.65	6261.81	5540.12	8977.34	14948.4	10125.1	19871.5	11696.5	10307.3	12489	21047.7	10714.6	14408.5	13525.7	5708.94	16263.1	36430	26869.3	3283.22	4396.68	12534.9	7932.38	8377.5	7584.17	2008.56	15385.3	19941.4	13097.1	11819.4	4391.74	9929.05	17210.3	3239.97		24042.2	6643.54		1538.27	19524.5	13068.3	8815.41	7473.94
A0A075B6I9	A0A075B6I9	LV746_HUMAN	IGLV7-46	Immunoglobulin lambda variable 7-46	8109.18	6816.33	2074.92	7216.3	7097.11	2204.87	5114.45	1857.08	3581.55	10317.5	13050.7	9085.21	10041	5763.09	1888.62	5700.86	7714.53	6093.01	4330.92	4608.08	16478.5		3489.42	6788.49	2170.85	4150.31	5806.48	5774.38	2793.29	1005.83		5092.85	3790.71	18727.7	1469.4	12007.5	3768.31	3500.17	3964.87	7354.25	4711.91	7616.12	5178.28	7016.9	7492.11	2810.56	4784.8	4338.86	7959.07	5632.69	5019.09	2149.8	2218.69		1701.21	6541.09	4287.99	3857.25	6213.36	6663.38	2546.99	3157.69	4043.96	4053.19	3912.72	5675.05	5099.78	5508.8	2385.52	2519.69	8156.92	4982.87	7730.87		13055.5	12729.8	5166.54	14049.4	4549.3	3414.78	4079.05	3897.01	4965.61	1213.78	2212.31	2553.61	12092.6	4029.25	2095.73	2970.09	3646.88	4029.08	757.871	8331.76	17987	4874.06	2493.04	2234.68	5046.19	5887.89	4653.8	2633.38
A0A075B6J9	A0A075B6J9	LV218_HUMAN	IGLV2-18	Immunoglobulin lambda variable 2-18	3328.89	2526.71	1710.28	4420.56	2068.8		4611.84	1774.02	3699.43	1345.01	5068.97	2711.89	1701.25		3606.21	4111.14	2482.78	2914.43	5670.66	703.811	731.319	1128.84	3848.94	2137.84		1240.53	5837.31	3413.22	6521.42	1018.04		1948.27	3042.72	1173.13	2179.75	1142.73	3650.4	1741.63	731.081	2588.97	4143.3	8807.5		3491.9	1649.42	1528.94	2054.03	680.525	2782.82	1692.59	3559.71	1603.21	5886.45		913.977	3370.84	2161.71	3580.04	1718.72	5546.85	5246.92	1400.52	3141.81	2216.95	3278.23	2636.68	3796.25	1089.11	2416.28	4831.44	3883.16	6900.9	3208.32	3471.33	3767.23	8620.62	3969.47	4283.16	6616.72	1762.54	2935.99	7089.09	1365.01	3338.01	7048.17	1799.47	3764.86	1863.02	1323.11	2355.44	3231.62	4358.57	820.053	1834.09	3634.07	2604.89	1476.34	836.959	4073.78	3295.37	2622.39	3144.9
A0A075B6K2	A0A075B6K2	LV312_HUMAN	IGLV3-12	Immunoglobulin lambda variable 3-12											269.38																																								341.611																									436.385	524.275				583.703								878.63			215.442										
A0A075B6K4	A0A075B6K4	LV310_HUMAN	IGLV3-10	Immunoglobulin lambda variable 3-10	4405.37	4502.11	5516.54	4100.68		3952		1261.26	1277.17	3757.11	5120.1	8894.19	5497.62	381.363	2278.91	2476.97	1930.29	547.889	270.116	2763.58	1235.06	2018.22	3892.89	4826.89	1360.25	2519.21	3336.84	877.107	2861.9	1207.67		2012.74	6148.55	1499.76	5251.29	1774.56	2659.96	1806.24	4198.48	9059.62	1498.7	1456.57				2021.31	1963.13	3250.36	6050.22	2521.32	8425.63	1401.95	4601.47		2189.77	3428.39	3139.23	3330.16	3107.54		2181.35	1613.97	2027.94	6288.85	4142.92	8376.71	1074.08	1907.43	2443.92	2299.34	8523.22	1812.39	1888.71	1130.62	7287.15		8461.4	11758.6	4779.18	5025.63	4404.47	2787.39	2573.66	2569.87	2943.15	2255.61	8405.76		4382.12	3482.22	2728.86	9007.38	997.521	1931.73	5399.25	7122.2		1526.96	5099.12	3992.88	2830.55	3316.69
A0A075B6K5	A0A075B6K5	LV39_HUMAN	IGLV3-9	Immunoglobulin lambda variable 3-9	1555.02	1450.57	785.851	1796.32	1065.06	369.473	1157.93	282.899	552.129	1011.58	1120.54	2017.96	1749.84	827.63	857.364	619.308	2182.54	976.212	2562.61	2957.13	1635.71	1201.23	882.456	350.254	381.274	1337.02	2459.94	1309.01	3568.75	1168.73		552.715	3662.34	460.985	2918.62	905.985	1747.33	1675.04	1381.08	5395.61	3252.74	441.004	217.017	1442.77	1195.8	608.083	1320.34	1820.9	1370.08	863.867	907.169		561.364		1390.52	1376.18		329.257	568.441	418.473	163.612			689.207	2570.8	1204.94			3074.39	1062.43	1170.39		1250.6	1508.31	1284.73	2790.9	1403.96	3469.51	743.682	591.328	387.236	1028.73	292.979	1034.86	1492.35	365.981	582.813	415.667	662.325	445.072	362.913	1575.26	556.041		1742.84	1058.56	2725.99	379.114	1769.77	3175.94	744.386	905.192
A0A075B6P5	A0A075B6P5	KV228_HUMAN	IGKV2-28	Immunoglobulin kappa variable 2-28	31352.5	15856.5	14988.6	20872.6	15518.5	12105.7	16296.2	10796.8	12424.3	12963.7	38039.6	17750.1	8344.3	7763.59	14189.4	7234.1	9046.89	12642.5	14369	13326.3	22771.9	4590.81	15453.9	8794.01	13140	8050.87	28222.6	5779.94	10584.3	9278.79	5478.9	20453.9	27285.5	10451	9561.39	11377	9791.11	3858.7	16592.9	20905.1	35619.7	13503.8	8029.19	16256.3	10682	9311.22	18995.2	9582.47	9338.49	12540.7	21372.6	5817.05	16684.3		7663.85	19503.6	10098.2	9293.51	12831.3	10993.5	6918.7	11734.4	6594.65	7715.69	10252.3	11987.3	20879.3	11266	11289.1	7906.95	13057.7	13667.5	7910.4	15748.9	41750.1	69131.2	72216	78671.9	35510.5	18335.1	16376.9	10546.8	10328.7	6392.97	12431.8	13093.3	9042.46	9769.7	11899.4	8210.11	15569	10425	7101.83	11102.1	22431.7	16209.4	8898.73	3796.45	26063.1	19614.4	12702.6	8513.83
A0A075B6R9	A0A075B6R9	KVD24_HUMAN	IGKV2D-24	Probable non-functional immunoglobulin kappa variable 2D-24	5010.78	2525.73	2221.72	4769.85	2804.32	1953.86	3989.98	1763.07	1663.97	2746.74	13237.2	2608.72	1562.32	1030.85	782.101	945.805	1201.86	1509.76	1060	2046.13	1254.83	543.323	1659.1	723.292	494.455		3500.79	1612.91	1340.18	762.59		820.296	2343.81	879.909	493.421	702.37	1615.7	597.939	1620.56	1127.83	3375.65	2331.6	1041.59	1437.57		681.414	1815.66	1315.82	1649.61	1609.41	9633.15	1141.52	1143.25		1237.6	1903.52	1266.91	13359.9	1951.62	1567.77	1239.42	763.714	1373.65	889.671	1190.04	831.065	4125.06	2062.99		848.429	1490.77	1612.67	2471.56	2298.42	8381.73	16943.4	22415.5	27576.4	5303.81	2199.06	3036.63	3990.45	533.798	1430.9	6524.13	1702	2101.05	973.928	2013.36	765.376	1450.63	2029.56	884.142	531.697	2410.88	4409.02	1016.63		6576.62	2588.29	1270.89	1209.98
